class,acc_val,acc_v2,drop
849,0.88,0.7,0.18000000000000005
905,0.88,0.7,0.18000000000000005
200,0.88,0.7,0.18000000000000005
176,0.88,0.7,0.18000000000000005
584,0.88,0.7,0.18000000000000005
744,0.68,0.5,0.18000000000000005
967,0.88,0.7,0.18000000000000005
557,0.88,0.7,0.18000000000000005
961,0.68,0.5,0.18000000000000005
278,0.78,0.6,0.18000000000000005
657,0.38,0.2,0.18
822,0.98,0.8,0.17999999999999994
958,0.98,0.8,0.17999999999999994
451,0.98,0.8,0.17999999999999994
517,0.98,0.8,0.17999999999999994
749,0.98,0.8,0.17999999999999994
84,0.98,0.8,0.17999999999999994
568,0.98,0.8,0.17999999999999994
569,0.98,0.8,0.17999999999999994
324,0.98,0.8,0.17999999999999994
658,0.98,0.8,0.17999999999999994
510,0.98,0.8,0.17999999999999994
12,0.98,0.8,0.17999999999999994
777,0.98,0.8,0.17999999999999994
741,0.98,0.8,0.17999999999999994
94,0.98,0.8,0.17999999999999994
883,0.86,0.7,0.16000000000000003
599,0.86,0.7,0.16000000000000003
954,0.86,0.7,0.16000000000000003
742,0.76,0.6,0.16000000000000003
748,0.76,0.6,0.16000000000000003
998,0.56,0.4,0.16000000000000003
825,0.86,0.7,0.16000000000000003
459,0.86,0.7,0.16000000000000003
418,0.86,0.7,0.16000000000000003
836,0.56,0.4,0.16000000000000003
423,0.76,0.6,0.16000000000000003
776,0.86,0.7,0.16000000000000003
828,0.86,0.7,0.16000000000000003
610,0.96,0.8,0.15999999999999992
28,0.96,0.8,0.15999999999999992
735,0.96,0.8,0.15999999999999992
458,0.96,0.8,0.15999999999999992
545,0.96,0.8,0.15999999999999992
256,0.96,0.8,0.15999999999999992
15,0.96,0.8,0.15999999999999992
854,0.96,0.8,0.15999999999999992
713,0.96,0.8,0.15999999999999992
127,0.96,0.8,0.15999999999999992
913,0.96,0.8,0.15999999999999992
528,0.96,0.8,0.15999999999999992
559,0.96,0.8,0.15999999999999992
221,0.96,0.8,0.15999999999999992
48,0.96,0.8,0.15999999999999992
953,0.96,0.8,0.15999999999999992
489,0.96,0.8,0.15999999999999992
85,0.96,0.8,0.15999999999999992
614,0.96,0.8,0.15999999999999992
580,0.96,0.8,0.15999999999999992
717,0.96,0.8,0.15999999999999992
917,0.96,0.8,0.15999999999999992
897,0.96,0.8,0.15999999999999992
652,0.96,0.8,0.15999999999999992
935,0.84,0.7,0.14
412,0.84,0.7,0.14
960,0.84,0.7,0.14
977,0.84,0.7,0.14
359,0.74,0.6,0.14
600,0.84,0.7,0.14
975,0.84,0.7,0.14
527,0.54,0.4,0.14
966,0.84,0.7,0.14
911,0.64,0.5,0.14
463,0.84,0.7,0.14
751,0.84,0.7,0.14
507,0.94,0.8,0.1399999999999999
862,0.94,0.8,0.1399999999999999
914,0.94,0.8,0.1399999999999999
514,0.94,0.8,0.1399999999999999
110,0.94,0.8,0.1399999999999999
910,0.94,0.8,0.1399999999999999
761,0.94,0.8,0.1399999999999999
734,0.94,0.8,0.1399999999999999
448,0.94,0.8,0.1399999999999999
895,0.94,0.8,0.1399999999999999
844,0.94,0.8,0.1399999999999999
662,0.94,0.8,0.1399999999999999
190,0.94,0.8,0.1399999999999999
794,0.94,0.8,0.1399999999999999
467,0.94,0.8,0.1399999999999999
806,0.94,0.8,0.1399999999999999
260,0.94,0.8,0.1399999999999999
597,0.94,0.8,0.1399999999999999
596,0.94,0.8,0.1399999999999999
703,0.94,0.8,0.1399999999999999
936,0.94,0.8,0.1399999999999999
477,0.94,0.8,0.1399999999999999
183,0.94,0.8,0.1399999999999999
840,0.94,0.8,0.1399999999999999
284,0.94,0.8,0.1399999999999999
162,0.94,0.8,0.1399999999999999
919,0.94,0.8,0.1399999999999999
740,0.94,0.8,0.1399999999999999
653,0.92,0.8,0.12
656,0.72,0.6,0.12
649,0.92,0.8,0.12
410,0.92,0.8,0.12
676,0.92,0.8,0.12
638,0.42,0.3,0.12
667,0.92,0.8,0.12
585,0.92,0.8,0.12
563,0.92,0.8,0.12
486,0.92,0.8,0.12
233,0.92,0.8,0.12
237,0.92,0.8,0.12
72,0.92,0.8,0.12
241,0.82,0.7,0.12
869,0.92,0.8,0.12
257,0.92,0.8,0.12
153,0.92,0.8,0.12
121,0.92,0.8,0.12
821,0.92,0.8,0.12
488,0.52,0.4,0.12
892,0.92,0.8,0.12
511,0.92,0.8,0.12
750,0.82,0.7,0.12
885,0.72,0.6,0.12
446,0.92,0.8,0.12
660,0.8,0.7,0.10000000000000009
602,0.8,0.7,0.10000000000000009
266,0.8,0.7,0.10000000000000009
156,1.0,0.9,0.09999999999999998
565,1.0,0.9,0.09999999999999998
671,1.0,0.9,0.09999999999999998
161,0.9,0.8,0.09999999999999998
492,0.9,0.8,0.09999999999999998
540,1.0,0.9,0.09999999999999998
990,1.0,0.9,0.09999999999999998
668,1.0,0.9,0.09999999999999998
851,0.9,0.8,0.09999999999999998
169,1.0,0.9,0.09999999999999998
496,1.0,0.9,0.09999999999999998
1,1.0,0.9,0.09999999999999998
148,1.0,0.9,0.09999999999999998
661,1.0,0.9,0.09999999999999998
659,0.9,0.8,0.09999999999999998
144,1.0,0.9,0.09999999999999998
506,0.9,0.8,0.09999999999999998
